epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.086,0.54146,0.66369,1.14953,0.89676,0.68387,0.79285,0.57383,1.05869,1.11219,1.87321,0.000665572,0.000665572,0.000665572
2,312.579,0.48659,0.52854,1.1049,0.81419,0.87639,0.91705,0.70779,0.81342,1.05352,1.61752,0.00131905,0.00131905,0.00131905
3,463.933,0.41317,0.43868,1.04528,0.95696,0.96129,0.98479,0.83786,0.60288,0.46067,1.36084,0.00195933,0.00195933,0.00195933
4,627.447,0.35967,0.38869,1.01141,1,0.99332,0.995,0.97383,0.24528,0.24833,0.89014,0.0019406,0.0019406,0.0019406
5,786.483,0.2893,0.32207,0.96985,0.97621,0.97849,0.99406,0.97458,0.21286,0.25654,0.85894,0.0019208,0.0019208,0.0019208
6,937.105,0.25627,0.29121,0.95027,0.99571,0.99743,0.995,0.98413,0.19823,0.1966,0.86304,0.001901,0.001901,0.001901
7,1087.72,0.25077,0.27651,0.95029,0.99784,0.99531,0.99481,0.9868,0.19851,0.19972,0.85724,0.0018812,0.0018812,0.0018812
8,1238.86,0.23106,0.26085,0.93605,0.99905,0.9914,0.995,0.98075,0.21473,0.20048,0.8822,0.0018614,0.0018614,0.0018614
9,1389.41,0.21228,0.24451,0.92516,0.99785,0.99975,0.995,0.99329,0.13849,0.14732,0.80593,0.0018416,0.0018416,0.0018416
10,1540.62,0.19543,0.22387,0.91786,0.99753,1,0.995,0.99397,0.14579,0.15219,0.81341,0.0018218,0.0018218,0.0018218
11,1691.68,0.18671,0.22345,0.91146,1,0.99981,0.995,0.99432,0.14284,0.15692,0.80626,0.001802,0.001802,0.001802
12,1860.98,0.17772,0.20867,0.90696,1,0.99973,0.995,0.99399,0.12687,0.12822,0.79197,0.0017822,0.0017822,0.0017822
13,2020.43,0.16635,0.19397,0.90383,1,0.99992,0.995,0.99289,0.11578,0.1193,0.78034,0.0017624,0.0017624,0.0017624
14,2181.83,0.16063,0.19158,0.90054,0.99997,1,0.995,0.99467,0.11383,0.11519,0.78597,0.0017426,0.0017426,0.0017426
15,2341.08,0.15585,0.18591,0.89523,0.99571,1,0.995,0.99484,0.10201,0.11221,0.77101,0.0017228,0.0017228,0.0017228
16,2502.65,0.15275,0.18151,0.89804,1,0.99556,0.995,0.995,0.11683,0.1224,0.78227,0.001703,0.001703,0.001703
17,2662.29,0.15249,0.18611,0.89814,0.99988,1,0.995,0.995,0.10396,0.1164,0.7752,0.0016832,0.0016832,0.0016832
18,2822.9,0.15179,0.18385,0.89607,0.99984,1,0.995,0.99473,0.10211,0.1054,0.77764,0.0016634,0.0016634,0.0016634
19,2982.66,0.14169,0.1667,0.88764,0.99986,1,0.995,0.99441,0.10172,0.10872,0.77808,0.0016436,0.0016436,0.0016436
20,3141.61,0.13914,0.1677,0.89079,0.99993,1,0.995,0.99499,0.09375,0.10614,0.77196,0.0016238,0.0016238,0.0016238
21,3301.3,0.1306,0.16153,0.88646,0.99987,1,0.995,0.99442,0.10888,0.11323,0.79276,0.001604,0.001604,0.001604
22,3459.66,0.13042,0.16292,0.8875,0.99983,1,0.995,0.995,0.09324,0.09593,0.77106,0.0015842,0.0015842,0.0015842
23,3618.59,0.12625,0.15548,0.88693,0.99988,1,0.995,0.99446,0.10215,0.10634,0.77843,0.0015644,0.0015644,0.0015644
24,3776.76,0.12639,0.15633,0.88535,0.99988,1,0.995,0.995,0.08298,0.09012,0.76119,0.0015446,0.0015446,0.0015446
25,3936.22,0.12428,0.15648,0.88233,0.99988,1,0.995,0.995,0.08604,0.09435,0.76638,0.0015248,0.0015248,0.0015248
26,4599.06,0.12036,0.15004,0.88339,0.99981,1,0.995,0.995,0.08714,0.09665,0.76709,0.001505,0.001505,0.001505
27,5103.66,0.12189,0.15648,0.88558,0.99981,1,0.995,0.99492,0.08858,0.09398,0.76721,0.0014852,0.0014852,0.0014852
28,5302.98,0.1177,0.14818,0.88298,0.99982,1,0.995,0.995,0.07934,0.08771,0.76388,0.0014654,0.0014654,0.0014654
29,5583.41,0.11384,0.14406,0.88098,0.99988,1,0.995,0.995,0.07533,0.08451,0.76096,0.0014456,0.0014456,0.0014456
30,5736.69,0.11294,0.14545,0.88117,0.99988,1,0.995,0.995,0.07399,0.08182,0.7595,0.0014258,0.0014258,0.0014258
31,5887.43,0.11368,0.1454,0.88241,0.99979,1,0.995,0.995,0.0885,0.09658,0.76732,0.001406,0.001406,0.001406
32,6038.42,0.11005,0.1433,0.88331,0.99891,1,0.995,0.99499,0.08007,0.09168,0.76954,0.0013862,0.0013862,0.0013862
33,6190.04,0.10348,0.13723,0.879,0.99984,1,0.995,0.995,0.07047,0.09187,0.75747,0.0013664,0.0013664,0.0013664
34,6342.08,0.1022,0.13499,0.87621,0.99987,1,0.995,0.9949,0.08007,0.09103,0.76198,0.0013466,0.0013466,0.0013466
35,6497.66,0.1001,0.12887,0.87565,0.99985,1,0.995,0.995,0.07723,0.08478,0.75754,0.0013268,0.0013268,0.0013268
36,6657.34,0.10006,0.13017,0.87847,0.99988,1,0.995,0.99499,0.06344,0.07463,0.75572,0.001307,0.001307,0.001307
37,6816.49,0.09795,0.12904,0.87841,0.99987,1,0.995,0.99494,0.06594,0.07392,0.75542,0.0012872,0.0012872,0.0012872
38,6985.72,0.09353,0.12576,0.87116,0.99988,1,0.995,0.995,0.05717,0.0666,0.75107,0.0012674,0.0012674,0.0012674
39,7145.15,0.09556,0.12787,0.87528,0.9998,1,0.995,0.99499,0.0926,0.1198,0.76847,0.0012476,0.0012476,0.0012476
40,7304.22,0.09758,0.13187,0.87363,0.99988,1,0.995,0.99499,0.07095,0.08477,0.75811,0.0012278,0.0012278,0.0012278
41,7463.06,0.09792,0.13067,0.87658,0.99989,1,0.995,0.995,0.06884,0.08548,0.75507,0.001208,0.001208,0.001208
42,7621.67,0.09451,0.12898,0.87376,0.99989,1,0.995,0.995,0.0682,0.08041,0.75293,0.0011882,0.0011882,0.0011882
43,7794.65,0.08831,0.12144,0.87113,0.99989,1,0.995,0.995,0.06398,0.07901,0.75154,0.0011684,0.0011684,0.0011684
44,8064.86,0.08804,0.12015,0.87456,0.99989,1,0.995,0.995,0.06286,0.07593,0.75388,0.0011486,0.0011486,0.0011486
45,8352.74,0.08772,0.11824,0.87103,0.99989,1,0.995,0.995,0.06388,0.07621,0.75497,0.0011288,0.0011288,0.0011288
46,8614.98,0.08468,0.11541,0.87285,0.99989,1,0.995,0.995,0.06255,0.07118,0.75125,0.001109,0.001109,0.001109
47,8843.9,0.08325,0.11594,0.87321,0.99981,1,0.995,0.995,0.05427,0.07204,0.74804,0.0010892,0.0010892,0.0010892
48,9082.14,0.08058,0.11482,0.86932,0.99989,1,0.995,0.995,0.05539,0.0696,0.74906,0.0010694,0.0010694,0.0010694
49,9389.88,0.0796,0.11439,0.86909,0.99989,1,0.995,0.995,0.05486,0.06549,0.74896,0.0010496,0.0010496,0.0010496
50,9627.84,0.07889,0.10955,0.86955,0.99989,1,0.995,0.995,0.05667,0.06796,0.75177,0.0010298,0.0010298,0.0010298
51,9910.37,0.07953,0.11243,0.86857,0.99989,1,0.995,0.995,0.0581,0.07153,0.75158,0.00101,0.00101,0.00101
52,10162.8,0.07716,0.11352,0.86928,0.99989,1,0.995,0.995,0.06264,0.06811,0.75272,0.0009902,0.0009902,0.0009902
53,10376.9,0.07863,0.10913,0.86963,0.99989,1,0.995,0.995,0.05094,0.06393,0.74684,0.0009704,0.0009704,0.0009704
54,10668.4,0.07759,0.10638,0.86947,1,1,0.995,0.99499,0.05603,0.06459,0.75146,0.0009506,0.0009506,0.0009506
55,10903.3,0.07463,0.10618,0.86882,1,1,0.995,0.995,0.04917,0.05843,0.7463,0.0009308,0.0009308,0.0009308
56,11174.1,0.07468,0.10461,0.86773,0.99989,1,0.995,0.995,0.05225,0.06019,0.74759,0.000911,0.000911,0.000911
57,11460.9,0.07358,0.10671,0.86698,0.99987,1,0.995,0.995,0.04713,0.05979,0.74526,0.0008912,0.0008912,0.0008912
58,11888.5,0.07137,0.10264,0.86929,0.99989,1,0.995,0.995,0.04857,0.06022,0.74537,0.0008714,0.0008714,0.0008714
59,12050.5,0.07326,0.10701,0.87061,0.99989,1,0.995,0.995,0.04848,0.05768,0.74391,0.0008516,0.0008516,0.0008516
60,12223.8,0.07221,0.10233,0.86752,0.99989,1,0.995,0.995,0.0519,0.06348,0.7443,0.0008318,0.0008318,0.0008318
61,12381,0.07299,0.10545,0.86686,0.99989,1,0.995,0.995,0.04565,0.05609,0.74251,0.000812,0.000812,0.000812
62,12539.7,0.07165,0.1076,0.86893,0.99989,1,0.995,0.995,0.04103,0.05143,0.74277,0.0007922,0.0007922,0.0007922
63,12698.1,0.0721,0.10575,0.86752,0.99989,1,0.995,0.99495,0.05424,0.07165,0.74843,0.0007724,0.0007724,0.0007724
64,12856.2,0.06975,0.101,0.86777,1,1,0.995,0.99499,0.04872,0.06414,0.74585,0.0007526,0.0007526,0.0007526
65,13026.4,0.06569,0.09802,0.8669,0.99989,1,0.995,0.995,0.0448,0.05653,0.74346,0.0007328,0.0007328,0.0007328
66,13266.7,0.0637,0.09368,0.86367,0.99987,1,0.995,0.995,0.07345,0.09683,0.75792,0.000713,0.000713,0.000713
67,13907.9,0.06378,0.09714,0.86349,1,1,0.995,0.995,0.04253,0.05839,0.74315,0.0006932,0.0006932,0.0006932
68,14562.2,0.06222,0.09572,0.86231,1,1,0.995,0.99499,0.03862,0.0561,0.74222,0.0006734,0.0006734,0.0006734
69,15197,0.06014,0.09048,0.86537,1,1,0.995,0.995,0.04178,0.05647,0.74449,0.0006536,0.0006536,0.0006536
70,16053.6,0.05889,0.08958,0.86396,0.99989,1,0.995,0.99499,0.03944,0.05463,0.74528,0.0006338,0.0006338,0.0006338
71,16485.5,0.05848,0.09168,0.86475,0.99989,1,0.995,0.995,0.04552,0.06548,0.74484,0.000614,0.000614,0.000614
72,16806.7,0.06022,0.09315,0.86361,0.99987,1,0.995,0.995,0.04445,0.06493,0.74547,0.0005942,0.0005942,0.0005942
73,17141.1,0.05867,0.09247,0.86351,0.99989,1,0.995,0.995,0.04072,0.06702,0.7441,0.0005744,0.0005744,0.0005744
74,17643,0.05828,0.089,0.86356,1,1,0.995,0.995,0.04109,0.05467,0.74496,0.0005546,0.0005546,0.0005546
75,18195.2,0.05653,0.08542,0.8637,0.99975,1,0.995,0.995,0.03697,0.05025,0.74291,0.0005348,0.0005348,0.0005348
76,19283.1,0.05549,0.08375,0.86246,1,1,0.995,0.995,0.036,0.04647,0.74107,0.000515,0.000515,0.000515
77,20041.8,0.05204,0.08271,0.86221,0.99989,1,0.995,0.995,0.03349,0.04534,0.74046,0.0004952,0.0004952,0.0004952
78,21417.4,0.05214,0.08128,0.86365,0.99989,1,0.995,0.995,0.03419,0.05559,0.74102,0.0004754,0.0004754,0.0004754
79,22174.7,0.04934,0.08009,0.86042,0.99989,1,0.995,0.995,0.03253,0.04678,0.7406,0.0004556,0.0004556,0.0004556
80,22723.4,0.04771,0.07954,0.86258,0.99989,1,0.995,0.995,0.03139,0.04694,0.74013,0.0004358,0.0004358,0.0004358
81,23005.7,0.04791,0.07689,0.86246,0.99989,1,0.995,0.995,0.03068,0.04517,0.73928,0.000416,0.000416,0.000416
82,23299,0.04645,0.07598,0.86259,0.99989,1,0.995,0.995,0.03004,0.04161,0.73913,0.0003962,0.0003962,0.0003962
83,23559.4,0.04652,0.07606,0.86285,0.99989,1,0.995,0.995,0.02797,0.04049,0.73839,0.0003764,0.0003764,0.0003764
84,23795.2,0.04682,0.07398,0.85907,0.99989,1,0.995,0.995,0.02865,0.04338,0.73883,0.0003566,0.0003566,0.0003566
85,24062.1,0.04558,0.07559,0.86235,0.99987,1,0.995,0.995,0.0306,0.05184,0.73871,0.0003368,0.0003368,0.0003368
86,24302.7,0.04532,0.07494,0.86111,0.99988,1,0.995,0.995,0.03246,0.05348,0.74017,0.000317,0.000317,0.000317
87,24611.7,0.0463,0.07267,0.85944,1,1,0.995,0.995,0.03281,0.04856,0.73963,0.0002972,0.0002972,0.0002972
88,24764.6,0.04443,0.07232,0.85945,0.99989,1,0.995,0.995,0.02898,0.04321,0.73809,0.0002774,0.0002774,0.0002774
89,24921.1,0.04254,0.06925,0.85847,1,1,0.995,0.995,0.02549,0.03877,0.73692,0.0002576,0.0002576,0.0002576
90,25076.6,0.04093,0.06886,0.86008,1,1,0.995,0.995,0.02743,0.04091,0.73759,0.0002378,0.0002378,0.0002378
91,25229.2,0.03937,0.05048,0.82328,0.99989,1,0.995,0.995,0.02668,0.03949,0.73743,0.000218,0.000218,0.000218
92,25380.1,0.03749,0.04742,0.82195,0.99989,1,0.995,0.995,0.02559,0.04024,0.73747,0.0001982,0.0001982,0.0001982
93,25531.8,0.03508,0.04468,0.81854,0.99989,1,0.995,0.995,0.0242,0.0397,0.73694,0.0001784,0.0001784,0.0001784
94,25690.2,0.03471,0.04666,0.82659,0.99989,1,0.995,0.995,0.02524,0.04165,0.73748,0.0001586,0.0001586,0.0001586
95,25837.9,0.03219,0.04145,0.82076,0.99989,1,0.995,0.995,0.02302,0.03574,0.7363,0.0001388,0.0001388,0.0001388
96,25990.6,0.03124,0.04095,0.82176,0.99989,1,0.995,0.995,0.02317,0.03613,0.73603,0.000119,0.000119,0.000119
97,26145.1,0.02931,0.0385,0.8228,0.99989,1,0.995,0.995,0.02217,0.0342,0.73563,9.92e-05,9.92e-05,9.92e-05
98,26295.7,0.02736,0.03591,0.82613,0.99989,1,0.995,0.995,0.02086,0.03289,0.7353,7.94e-05,7.94e-05,7.94e-05
99,26449.9,0.02588,0.03445,0.82332,0.99989,1,0.995,0.995,0.01982,0.03277,0.73501,5.96e-05,5.96e-05,5.96e-05
100,26605.3,inf,0.0337,0.81841,0.99989,1,0.995,0.995,0.01943,0.03143,0.73503,3.98e-05,3.98e-05,3.98e-05
