epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.596,0.60756,0.7399,1.10781,0.81924,0.87127,0.92114,0.70413,0.66266,1.28644,1.30413,0.000665755,0.000665755,0.000665755
2,417.11,0.55851,0.57969,1.07004,0.94223,0.92151,0.96577,0.84024,0.48227,0.50326,1.12579,0.00131923,0.00131923,0.00131923
3,611.921,0.488,0.49692,1.0239,0.95377,0.90685,0.96441,0.80494,0.65727,0.53718,1.30727,0.00195951,0.00195951,0.00195951
4,805.13,0.42675,0.42739,0.98344,0.96175,0.94737,0.97876,0.89228,0.35433,0.36032,0.99602,0.0019406,0.0019406,0.0019406
5,998.339,0.37901,0.38374,0.95569,0.9854,0.96546,0.98872,0.9293,0.30368,0.33441,0.92617,0.0019208,0.0019208,0.0019208
6,1191.47,0.33613,0.34731,0.93856,0.9574,0.95267,0.97459,0.93135,0.284,0.27901,0.90253,0.001901,0.001901,0.001901
7,1385.21,0.3172,0.32227,0.92716,0.99975,0.9843,0.99458,0.96987,0.21125,0.19553,0.83335,0.0018812,0.0018812,0.0018812
8,1579.36,0.28636,0.29499,0.91027,0.99382,0.98116,0.98934,0.97208,0.1986,0.20341,0.82457,0.0018614,0.0018614,0.0018614
9,1772.77,0.27059,0.27374,0.90337,0.99514,0.98273,0.99041,0.97478,0.20866,0.19932,0.83911,0.0018416,0.0018416,0.0018416
10,1966.54,0.25443,0.26737,0.89655,0.99519,0.98587,0.99456,0.97681,0.18864,0.19956,0.82151,0.0018218,0.0018218,0.0018218
11,2160.11,0.2452,0.25737,0.89307,0.99841,0.98664,0.9891,0.97765,0.16513,0.17805,0.79206,0.001802,0.001802,0.001802
12,2353.77,0.23647,0.24242,0.88935,0.99641,0.98273,0.99351,0.98093,0.15661,0.15213,0.79799,0.0017822,0.0017822,0.0017822
13,2547.34,0.23193,0.23787,0.88883,0.99522,0.98157,0.99365,0.98071,0.1603,0.16829,0.80804,0.0017624,0.0017624,0.0017624
14,2740.65,0.22378,0.23448,0.88371,0.99494,0.9843,0.99424,0.97796,0.15276,0.1544,0.78802,0.0017426,0.0017426,0.0017426
15,2933.63,0.21485,0.21894,0.8847,0.99841,0.98866,0.99494,0.98365,0.15191,0.15559,0.79126,0.0017228,0.0017228,0.0017228
16,3127.68,0.2095,0.21702,0.87754,0.9937,0.98999,0.99491,0.98041,0.1364,0.13623,0.77972,0.001703,0.001703,0.001703
17,3321.89,0.20426,0.21445,0.87759,0.99487,0.98587,0.99058,0.98127,0.13747,0.1438,0.77849,0.0016832,0.0016832,0.0016832
18,3518.59,0.20011,0.21124,0.87281,0.998,0.98273,0.99486,0.98532,0.13988,0.14107,0.78835,0.0016634,0.0016634,0.0016634
19,3713.29,0.19698,0.20851,0.87263,0.99961,0.98273,0.99272,0.98056,0.15355,0.14803,0.7902,0.0016436,0.0016436,0.0016436
20,3908.38,0.19437,0.20668,0.87096,0.99666,0.98901,0.99491,0.98794,0.13082,0.14488,0.78074,0.0016238,0.0016238,0.0016238
21,4104.69,0.18823,0.20195,0.87175,0.99715,0.98901,0.99495,0.98822,0.13051,0.1403,0.77679,0.001604,0.001604,0.001604
22,4299.09,0.18477,0.19653,0.8662,0.99668,0.98744,0.99483,0.98986,0.1173,0.12754,0.7702,0.0015842,0.0015842,0.0015842
23,4494.2,0.17882,0.19195,0.86822,0.99825,0.98901,0.99494,0.98744,0.13413,0.13364,0.78139,0.0015644,0.0015644,0.0015644
24,4688.1,0.17806,0.18955,0.86937,0.99842,0.99018,0.99498,0.98867,0.11225,0.12196,0.76501,0.0015446,0.0015446,0.0015446
25,4890.84,0.17742,0.1898,0.86536,0.99662,0.99058,0.99497,0.98795,0.10713,0.10764,0.76207,0.0015248,0.0015248,0.0015248
26,5161.57,0.17029,0.1815,0.86543,0.9995,0.98901,0.99497,0.98954,0.10291,0.10956,0.76305,0.001505,0.001505,0.001505
27,5560.49,0.1667,0.17487,0.86145,0.99842,0.99039,0.99497,0.98982,0.10321,0.10939,0.76069,0.0014852,0.0014852,0.0014852
28,6039.89,0.16414,0.17671,0.86571,0.9983,0.99058,0.99491,0.99019,0.09938,0.11361,0.75942,0.0014654,0.0014654,0.0014654
29,6546.77,0.16442,0.18013,0.86331,0.99839,0.98901,0.99495,0.98999,0.1043,0.11211,0.76072,0.0014456,0.0014456,0.0014456
30,6746.41,0.15938,0.17319,0.85971,0.99825,0.99058,0.99487,0.99007,0.09636,0.10381,0.761,0.0014258,0.0014258,0.0014258
31,6939.6,0.15685,0.17066,0.86081,0.99835,0.99058,0.99497,0.98779,0.10575,0.11164,0.7714,0.001406,0.001406,0.001406
32,7129.02,0.15457,0.16903,0.86145,0.99775,0.99058,0.99497,0.9879,0.10045,0.10718,0.76005,0.0013862,0.0013862,0.0013862
33,7318.11,0.15165,0.1629,0.85892,0.99779,0.98901,0.99491,0.99017,0.1084,0.10653,0.76973,0.0013664,0.0013664,0.0013664
34,7506.3,0.14976,0.16282,0.85648,0.99679,0.99058,0.99497,0.99077,0.08635,0.09552,0.753,0.0013466,0.0013466,0.0013466
35,7699.4,0.15195,0.16305,0.85703,0.99977,0.98901,0.99495,0.98668,0.085,0.09385,0.75254,0.0013268,0.0013268,0.0013268
36,7885.98,0.14929,0.16022,0.86085,0.99842,0.9904,0.99497,0.99156,0.0784,0.08934,0.74964,0.001307,0.001307,0.001307
37,8075.07,0.14349,0.15548,0.8564,0.99842,0.99055,0.99497,0.98985,0.0914,0.09257,0.75664,0.0012872,0.0012872,0.0012872
38,8261.76,0.14479,0.15867,0.85968,0.99833,0.99058,0.99498,0.98996,0.09238,0.11121,0.76059,0.0012674,0.0012674,0.0012674
39,8449.25,0.14281,0.15398,0.85708,0.99649,0.98901,0.9949,0.98842,0.07989,0.08732,0.74919,0.0012476,0.0012476,0.0012476
40,8635.74,0.1405,0.15033,0.85694,0.99838,0.99058,0.99498,0.99128,0.07874,0.08497,0.75449,0.0012278,0.0012278,0.0012278
