epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9467,2.1473,3.80015,1.89595,0.55332,0.03625,0.0308,0.01584,2.79132,15.2072,3.01159,0.00036763,0.00036763,0.00036763
2,85.8391,2.18961,3.44771,1.89201,0.42777,0.14076,0.09303,0.03191,2.64499,4.9837,2.71356,0.000730658,0.000730658,0.000730658
3,122.376,2.26061,3.43841,1.9395,0.34583,0.09326,0.05766,0.01976,2.52462,11.9654,2.58018,0.00108635,0.00108635,0.00108635
4,159.37,2.24743,3.3932,1.9221,0.52689,0.11611,0.07293,0.03504,2.53415,4.70803,2.43703,0.001078,0.001078,0.001078
5,199.339,2.18654,3.37132,1.91817,0.35281,0.11635,0.06867,0.02335,2.48999,3.1701,2.44782,0.001067,0.001067,0.001067
6,238.901,2.13548,3.2124,1.8517,0.34712,0.11732,0.09605,0.03786,2.34418,3.30288,2.29224,0.00105601,0.00105601,0.00105601
7,278.044,2.05112,3.10866,1.82242,0.31136,0.18049,0.15466,0.06981,2.29951,3.4487,2.2818,0.00104501,0.00104501,0.00104501
8,315.462,2.02172,3.11406,1.80732,0.52315,0.17282,0.12424,0.05078,2.31865,3.13528,2.28804,0.00103401,0.00103401,0.00103401
9,351.727,2.01153,3.06241,1.7874,0.61244,0.13819,0.13139,0.05775,2.27435,3.06029,2.2587,0.00102301,0.00102301,0.00102301
10,389.035,1.98297,2.96517,1.748,0.56032,0.16522,0.14567,0.06152,2.13011,3.02031,2.20683,0.00101201,0.00101201,0.00101201
11,426.358,1.96433,2.96946,1.74402,0.45104,0.15553,0.12438,0.04563,2.26188,3.09296,2.2438,0.00100101,0.00100101,0.00100101
12,463.194,1.90393,2.88834,1.70675,0.42307,0.24876,0.16555,0.05948,2.13769,2.77908,2.14207,0.000990012,0.000990012,0.000990012
13,501.229,1.89974,2.89238,1.7109,0.56364,0.20043,0.19196,0.08721,2.02585,2.7178,2.01477,0.000979013,0.000979013,0.000979013
14,538.415,1.89546,2.82617,1.71896,0.25284,0.19768,0.17212,0.06693,2.10915,2.71129,2.13532,0.000968014,0.000968014,0.000968014
15,574.67,1.88453,2.8239,1.70716,0.47585,0.19754,0.17062,0.06245,2.11654,2.59424,2.10234,0.000957015,0.000957015,0.000957015
